Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
1,Arm?nie,-27.61,0.0,0.0,12147.622,14202.0,212624.0,0.0
1,Arménie,0.0,26206.32,0.0,0.0,0.0,0.0,96.65
2,Afghanistan,-2561.13,32930628.28,0.0,95860.98,3328.0,5706428.0,1714.88
3,Albanie,114.83999999999999,2587331.934,0.0,87499.5453,92988.0,12677692.0,8568.0
4,Afghanistan,0.0,0.0,667.476253,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
4,Alg?rie,-124.08,0.0,0.0,11080.602,0.0,48080.0,0.0
4,Algérie,0.0,350983.634,0.0,0.0,0.0,0.0,92.18
5,Samoa am?ricaines,9.83,0.0,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
5,Samoa américaines,0.0,501.647,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
6,Andorre,961.29,55434.225,0.0,69834.5361,33352678.907117646,33120962.228784315,3034.9288039215703
7,Angola,-242.55,18710678.217,0.0,85475.5587,1890.0,787150.0,1926.0
8,Albanie,0.0,0.0,300.799291,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
8,Antigua-et-Barbuda,625.68,64031.121,0.0,70136.8668,3036.0,52808.0,3519.56
9,Argentine,51.480000000000004,42205587.05,0.0,193956.21899999998,1269248.0,2618712.0,19491.84
10,Australie,681.12,16333698.227,0.0,68951.2194,266560.0,0.0,1584.3
11,Autriche,1028.61,7689758.67,0.0,92962.4769,124017696.0,282433536.0,34369.92
12,Alg?rie,0.0,0.0,531.157494,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
12,Bahamas,886.05,330207.966,0.0,87905.96280000001,0.0,132720.0,675.0
13,Bahre?n,-100.54,0.0,0.0,10689.303,154.0,4158.0,0.0
13,Bahreïn,0.0,12331.223,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
14,Barbade,1089.0,281812.74,0.0,99904.563,372096.0,26640.0,3959.5499999999997
